Uuid,Void/Retire,Fully specified name:en,_version:1,_order:50
,TRUE,Capsule(s),,
,TRUE,Tablet(s),,
,TRUE,ml,,
,TRUE,mg,,
,TRUE,IU,,
,TRUE,Drop,,
,TRUE,Tablespoon,,
,TRUE,Teaspoon,,
,TRUE,Unit(s),,
,TRUE,Puff(s),,
,TRUE,Application,,
,TRUE,Packet,,
,TRUE,Dose,,
,TRUE,See comments,,
,TRUE,Dosing Units,,
,TRUE,Drug Routes,,
,TRUE,Before meals,,
,TRUE,Empty stomach,,
,TRUE,After meals,,
,TRUE,In the morning,,
,TRUE,In the evening,,
,TRUE,At bedtime,,
,TRUE,As directed,,
,TRUE,Dosing Instructions,,
,TRUE,Oral,,
,TRUE,Topical,,
,TRUE,Inhalation,,
,TRUE,Intramuscular,,
,TRUE,Intravenous,,
,TRUE,Intravaginal,,
,TRUE,Opthalmic,,
,TRUE,Otic,,
,TRUE,Hydrochlorothiazide,,
