Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1300
,,,GHC_Less than 1000 HTG,Less than 1000 HTG,,Misc,N/A,,,,,,,,,,,
,,,GHC_1000-2000 HTG,1000-2000 HTG,,Misc,N/A,,,,,,,,,,,
,,,GHC_2000-5000 HTG,2000-5000 HTG,,Misc,N/A,,,,,,,,,,,
,,,GHC_More that 5000 HTG,More that 5000 HTG,,Misc,N/A,,,,,,,,,,,
,,,GHC_Average monthly income for entire household,Average Monthly Income for entire household ,,Question,Coded,,GHC_Less than 1000 HTG;GHC_1000-2000 HTG;GHC_2000-5000 HTG;GHC_More that 5000 HTG,,,,,,,,,
,,,GHC_Healthcare previously recieved,Was anyone in the household receiving any healthcare prior to moving here?,,Question,Boolean,,,,,,,,,,,
,,,GHC_Clinic,Clinic,,Misc,N/A,,,,,,,,,,,
,,,GHC_Hospital,Hospital,,Misc,N/A,,,,,,,,,,,
,,,GHC_Dispensary,Dispensary,,Misc,N/A,,,,,,,,,,,
,,,GHC_Traditional Healer/Houngan,Traditional Healer/Houngan,,Misc,N/A,,,,,,,,,,,
,,,GHC_Other,Other,,Misc,N/A,,,,,,,,,,,
,,,GHC_Free Text Other,"Other, specify:",,Misc,Text,,,,,,,,,,,
,,,"GHC_Healthcare previously received, where","If yes, where?",,Question,Coded,,GHC_Clinic;GHC_Hospital;GHC_Dispensary;GHC_Traditional Healer/Houngan;GHC_Other;GHC_Free Text Other,,,,,,,,,
,,,GHC_None,None,,Misc,N/A,,,,,,,,,,,
,,,GHC_Primary School Level,Primary School Level,,Misc,N/A,,,,,,,,,,,
,,,GHC_High School Or Secondary School Level,High School Or Secondary School Level,,Misc,N/A,,,,,,,,,,,
,,,GHC_Some College,Some College,,Misc,N/A,,,,,,,,,,,
,,,GHC_Finished College,Finished College,,Misc,N/A,,,,,,,,,,,
,,,GHC_Advanced Degree,Advanced Degree,,Misc,N/A,,,,,,,,,,,
,,,GHC_Highest education level of any member of the house,Highest education level for any member of the house?,,Question,Coded,,GHC_None;GHC_Primary School Level;GHC_High School Or Secondary School Level;GHC_Some College;GHC_Finished College;GHC_Advanced Degree,,,,,,,,,
,,,GHC_Tent housing,Tent housing,,Misc,N/A,,,,,,,,,,,
,,,GHC_Mud,Mud,,Misc,N/A,,,,,,,,,,,
