uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
89e9cd9c-be64-491a-a96c-1201f4a74b0b,,CIEL:152305,Confirmed Pregnancy,Grossesse confirmée,Confirmed Pregnancy,Grossesse confirmée,,,Misc,Coded,,Yes; No,,,,,,,,,
a7ad184c-b79a-476d-9ba2-ef980375da28,,CIEL:165387,Foetus Number,Numéro du fœtus,Foetus #,Numéro du fœtus,,,Misc,Numeric,,,,,,,,,,,
c1e61ae3-4de8-4fe1-9b7a-8c1ae56d1631,,,Number of Placenta,Nombre de placenta,Number of Placenta,Nombre de placenta,,,Misc,Numeric,,,,,,,,,,,
7ce5a9fe-d9e0-427e-a080-ce8a9c673822,,CIEL:1440,Ultrasound Fetal heart rate,Rythme cardiaque fœtal,Fetal heart rate,Rythme cardiaque fœtal,,,Misc,Numeric,,,,FALSE,beats/min,120,160,40,250,,
c4526510-3f10-11e4-adec-0800271c1b75,,CIEL:160091,Cephalic,Céphalique,Cephalic,Céphalique,,,Misc,N/A,,,,,,,,,,,
a0dc5727-c33e-479b-b70e-fb0eb7e45853,,CIEL:146922,Breech,Siège,Breech,Siège,,,Misc,N/A,,,,,,,,,,,
5bb2ea3b-a736-4533-bd5e-a1e9d835f721,,CIEL:112259,Transverse,Transversale,Transverse,Transversale,,,Misc,N/A,,,,,,,,,,,
cbafba29-b62a-4675-910a-a6bb161de256,,,Variable,Variable,Variable,Variable,,,Misc,N/A,,,,,,,,,,,
d47e2e11-355e-4c62-86a7-8ebe45fb4292,,CIEL:160090,Ultrasound Presentation,Présentation,Presentation,Présentation,,,Misc,Coded,,Cephalic;Breech;Transverse;Variable,,,,,,,,,
19aa76a5-7b92-47f9-91c1-581b20e9c2a0,,,Arms,Bras,Arms,Bras,,,Misc,Coded,,Normal;Abnormal;Not Seen,,,,,,,,,
bdd6b795-8283-4c87-b3d4-4c7b74110e93,,,Legs,Jambes,Legs,Jambes,,,Misc,Coded,,Normal;Abnormal;Not Seen,,,,,,,,,
8a0fcd33-1cf3-4136-9173-c8874104ae06,,,Brain,Cerveau,Brain,Cerveau,,,Misc,Coded,,Normal;Abnormal;Not Seen,,,,,,,,,
24b631fa-3c4a-4e3b-bacf-c3c5d0405cc9,,,Heart,Cœur,Heart,Cœur,,,Misc,Coded,,Normal;Abnormal;Not Seen,,,,,,,,,
8b1ce3d9-3841-427d-ab49-b92a28a6416e,,,Lungs,Poumons,Lungs,Poumons,,,Misc,Coded,,Normal;Abnormal;Not Seen,,,,,,,,,
dc5154f9-30ba-4018-84b0-01306c2244f8,,,Kidneys,Reins,Kidneys,Reins,,,Misc,Coded,,Normal;Abnormal;Not Seen,,,,,,,,,
