Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Short name:en,Short name:fr,Description:en,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1100
050ecb0e-fcc7-4778-94ee-3258ddecbc60,,,Haiti_Single,Haiti_Single,Single,Célibataire,,,Misc,N/A,,,,,,,,,,,
7dd0e065-818b-43c7-8344-9064accf97f5,,,Haiti_Married,Haiti_Married,Married,Marrié,,,Misc,N/A,,,,,,,,,,,
c064ecf5-a6ea-48ce-807d-a8e554c13f8d,,,Haiti_Living_with_Partner,Haiti_Living_with_Partner,Living with Partner,En ménage,,,Misc,N/A,,,,,,,,,,,
176a6391-e203-4d7e-b0e1-9baf63602a91,,,Haiti_Separated,Haiti_Separated,Separated,Séparé,,,Misc,N/A,,,,,,,,,,,
7f980dba-41c2-42a5-9ddc-ccffdc881a38,,,Haiti_Divorced,Haiti_Divorced,Divorced,Divorcé,,,Misc,N/A,,,,,,,,,,,
73515be9-3f0e-4844-b28b-12967968e477,,,Haiti_Widowed,Haiti_Widowed,Widowed,Veuf(ve),,,Misc,N/A,,,,,,,,,,,
4e7a07f2-345f-419c-8d30-b060d9b8681a,,,Haiti_Social_Status,Haiti_Social_Status,Social Status,Situation maritale,,,Misc,Coded,,Haiti_Single; Haiti_Married; Haiti_Living_with_Partner; Haiti_Separated; Haiti_Divorced; Haiti_Widowed,,,,,,,,,
c0382185-dde5-4b1f-98e0-f843df4a4dfa,,,Haiti_Housework,Haiti_Housework,Housework,Au foyer,,,Misc,N/A,,,,,,,,,,,
52c210e8-1ae3-4a68-bd32-54650598e76e,,,Haiti_Factory_worker,Haiti_Factory_worker,Factory worker,Ouvrier,,,Misc,N/A,,,,,,,,,,,
1a3df050-8460-4c33-ac0b-f35d3079b261,,,Haiti_Brewer,Haiti_Brewer,Brewer,Brasseur,,,Misc,N/A,,,,,,,,,,,
e50822cb-0de3-4321-8fde-8e36335c1106,,,Haiti_Teacher,Haiti_Teacher,Teacher,Enseignant,,,Misc,N/A,,,,,,,,,,,
52f49f3f-8c0b-488f-826f-b6ea077e885d,,,Haiti_Retired,Haiti_Retired,Retired,Retraité,,,Misc,N/A,,,,,,,,,,,
261383fb-29a4-46e3-8f1b-a7f47788d7d2,,,Haiti_Farmer,Haiti_Farmer,Farmer,Fermier,,,Misc,N/A,,,,,,,,,,,
9d290970-08b2-4ee3-832f-b624e7483e8c,,,Haiti_Shop_owner,Haiti_Shop_owner,Shop owner,Commerçant,,,Misc,N/A,,,,,,,,,,,
f60e0edc-a57b-47b6-a9b2-a5f98206bace,,,Haiti_Manual_laborer,Haiti_Manual_laborer,Manual laborer,Travail manuel,,,Misc,N/A,,,,,,,,,,,
34cebbe9-915c-472f-b3f8-a06ca7035de7,,,Haiti_Driver,Haiti_Driver,Driver,Chauffeur,,,Misc,N/A,,,,,,,,,,,
f29ee258-f054-4fc8-a4a3-b921a777e1f1,,,Haiti_Student,Haiti_Student,Student,Etudiant,,,Misc,N/A,,,,,,,,,,,
d3464062-0345-4770-b7ec-22152a33f311,,,Haiti_Miner,Haiti_Miner,Miner,Mineur,,,Misc,N/A,,,,,,,,,,,
ad88c25f-87be-4d89-b7c9-a00498501bb5,,,Haiti_Unemployed,Haiti_Unemployed,Unemployed,Sans emploi,,,Misc,N/A,,,,,,,,,,,
a06b3fe5-f912-4e2d-9357-76c807a236fb,,,Haiti_Fruit_or_vegetable_vendor,Haiti_Fruit_or_vegetable_vendor,Fruit or vegetable vendor,Vendeur de fruits et légumes,,,Misc,N/A,,,,,,,,,,,
d45afda4-9bbc-426b-9dc3-d981ed67db71,,,Haiti_Shepherd,Haiti_Shepherd,Shepherd,Berger,,,Misc,N/A,,,,,,,,,,,
58f1ef0c-a87d-47d0-a8dc-b4ab5591cd68,,,Haiti_Fisherman,Haiti_Fisherman,Fisherman,Pêcheur,,,Misc,N/A,,,,,,,,,,,
78a97f8e-2dbe-4d43-8788-11bc0941811c,,,Haiti_Market_vendor,Haiti_Market_vendor,Market vendor,Vendeur au marché,,,Misc,N/A,,,,,,,,,,,
b30cccc1-67a2-4ab4-918d-9cc1a58a260a,,,Haiti_Civil_servant,Haiti_Civil_servant,Civil servant,Fonctionnaire,,,Misc,N/A,,,,,,,,,,,
313eef83-3805-4e73-9698-6314bc8fb37c,,,Haiti_Health_care_worker,Haiti_Health_care_worker,Health care worker,Personnel de santé,,,Misc,N/A,,,,,,,,,,,
ec819f30-4699-45b4-a6b0-a80ed53978f7,,,Haiti_Other_Occupation,Haiti_Other_Occupation,Other,Autre,,,Misc,N/A,,,,,,,,,,,
d746c5e4-b810-4cfb-96ea-73c70d068977,,,Haiti_Occupation,Haiti_Occupation,Occupation,Profession,,,Misc,Coded,,Haiti_Housework; Haiti_Factory_worker; Haiti_Brewer; Haiti_Teacher; Haiti_Retired; Haiti_Farmer; Haiti_Shop_owner; Haiti_Manual_laborer; Haiti_Driver; Haiti_Student; Haiti_Miner; Haiti_Unemployed; Haiti_Fruit_or_vegetable_vendor; Haiti_Shepherd; Haiti_Fisherman; Haiti_Market_vendor; Haiti_Civil_servant; Haiti_Health_care_worker; Haiti_Other_Occupation,,,,,,,,,
bf041739-892f-4744-8cb2-d60903284835,,,Haiti_Voodoo,Haiti_Voodoo,Voodoo,Vaudoo,,,Misc,N/A,,,,,,,,,,,
2e78f77d-18b7-4c1b-8b22-617e04ce0d5d,,,Haiti_Catholic,Haiti_Catholic,Catholic,Catholique,,,Misc,N/A,,,,,,,,,,,
56bb7828-b3cb-4c67-b2e8-c5f55b59302b,,,Haiti_Baptist,Haiti_Baptist,Baptist,Baptiste,,,Misc,N/A,,,,,,,,,,,
689af12e-ef38-484f-a984-ff28d1e8794b,,,Haiti_Muslim,Haiti_Muslim,Muslim,Musulman,,,Misc,N/A,,,,,,,,,,,
0891f4e7-f95b-4014-a908-4911d4e9e337,,,Haiti_Pentecostal,Haiti_Pentecostal,Adventist,Adventiste,,,Misc,N/A,,,,,,,,,,,
b9eaaf1a-be41-4eef-9e12-6b038786fe03,,,Haiti_Jehovah_s_Witness,Haiti_Jehovah_s_Witness,Jehovah's Witness,Témoin de Jehovah,,,Misc,N/A,,,,,,,,,,,
6a7da305-b5f2-4484-a0ed-ad59f4de8110,,,Haiti_Religion,Haiti_Religion,Religion,Religion,,,Misc,Coded,,Haiti_Voodoo; Haiti_Catholic; Haiti_Baptist; Haiti_Muslim; Haiti_Pentecostal; Haiti_Jehovah_s_Witness,,,,,,,,,
3ac37b90-6276-4f69-ab70-33128040fa76,,,Haiti_Parent,Haiti_Parent,Parent,Parent,,,Misc,N/A,,,,,,,,,,,
7a475706-0f57-4ed2-ae4a-04a9989fd5df,,,Haiti_Sibling,Haiti_Sibling,Sibling,Frère ou soeur,,,Misc,N/A,,,,,,,,,,,
2a76a46f-ca46-4629-bed1-8dc7aaf716a4,,,Haiti_Friend,Haiti_Friend,Friend,Amis,,,Misc,N/A,,,,,,,,,,,
ee63d1f2-095a-4d28-ba95-fbc933666070,,,Haiti_contactPersonRelationship,Haiti_contactPersonRelationship,Contact Person Relationship,Lien avec la personne contact,,,Misc,Coded,,Haiti_Parent; Haiti_Sibling; Haiti_Friend,,,,,,,,,
