Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Fully specified name:fr,Short name:fr,Description:fr,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:900
5089AAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:5089,Weight,Weight,,Poids,Poids,,Misc,Numeric,,,,TRUE,kg,,,0,700,,
,,,"Weight, grams","Weight, grams",,"Poids, grammes","Poids, grammes",,Misc,Numeric,,,,,g,,,0,,,
5090AAAAAAAAAAAAAAAAAAAAAAAAAAAA,,CIEL:5090,Height,Height,,Taille,Taille,,Misc,Numeric,,,,TRUE,cm,,,0,,,
c367d9ee-3f10-11e4-adec-0800271c1b75,,CIEL:1342,BMI,BMI,,BMI,IMC,,Computed,Numeric,,,,TRUE,kg/m2,,,,,,
c3843f1d-9835-47e8-842b-d51e57781585,,,BMI ABNORMAL,BMI ABNORMAL,,BMI ABNORMAL,IMC Anormal,,Abnormal,Boolean,,,,,,,,,,,
2c5bbbbf-f34d-4590-b624-9f17b75b7f00,,,BMI Data,BMI Data,,BMI Data,IMC Data,,Concept Details,N/A,,,c367d9ee-3f10-11e4-adec-0800271c1b75; c3843f1d-9835-47e8-842b-d51e57781585,,,,,,,,
afd34a0d-ca7c-4f31-bd5a-4f1fa98100e1,,,BMI STATUS ABNORMAL,BMI STATUS ABNORMAL,,BMI STATUS ABNORMAL,IMC Status Anormal,,Abnormal,Boolean,,,,,,,,,,,
c368694c-3f10-11e4-adec-0800271c1b75,,,BMI STATUS,BMI STATUS,,BMI STATUS,IMC Status,,Computed,Text,,,,,,,,,,,
80ef57a5-0d0c-48de-acdd-19e026c890b5,,,BMI Status Data,BMI Status Data,,BMI Status Data,IMC Status,,Concept Details,N/A,,,afd34a0d-ca7c-4f31-bd5a-4f1fa98100e1; c368694c-3f10-11e4-adec-0800271c1b75,,,,,,,,
0b9e358e-c9cf-439e-8c00-69f873cec59f,,CIEL:5087,Pulse,Pulse,,Pouls,Pouls,,Question,Numeric,,,,,beats/min,60,160,10,230,,
8bc4016d-88ee-43dc-a943-ad10b8bb211e,,CIEL:5086,Diastolic Blood Pressure,Diastolic,,Tension artérielle diastolique,Diastolique,,Question,Numeric,,,,,mmHg,60,80,20,400,,
bc4f2e44-26b0-4f5f-a98f-248601fdf792,,CIEL:5085,Systolic Blood Pressure,Systolic,,Tension artérielle systolique,Systolique,,Question,Numeric,,,,,mmHg,90,120,40,400,,
0ff962b3-8730-4eb0-9028-82d403b066bf,,CIEL:5088,Temperature,T,,Température,Température,,Question,Numeric,,,,TRUE,C,36.7,37.5,25.0,43.0,,
8130729f-4605-49b3-b7c0-12b19cc10543,,CIEL:5242,Respiratory Rate,RR,,Frequence respiratoire,Frequence respiratoire,,Question,Numeric,,,,,breaths/min,12,70,,,,
c642aeb3-95d3-4d1b-aa5b-1273b438d14f,,CIEL:5092,Oxygen Saturation,SaO2,,Saturation d'oxygène,SaO2,,Question,Numeric,,,,,%,95,100,0,100,,
06188def-b659-4feb-8899-d513f49b67fb,,,Blood Pressure Set,Blood Pressure,,Groupe tension artérielle,Tension artérielle,,ConvSet,N/A,,,Tension artérielle systolique; Tension artérielle diastolique,,,,,,,,
f074942b-666b-4ca3-9f0e-1103128b3ae2,,CIEL:1343,Mid-Upper Arm Circumference,Mid-Upper Arm Circumference,,Périmètre bracchial,Périmètre bracchial,,Question,Numeric,,,,TRUE,cm,,,,,,
773d36e9-119e-452c-91ee-4ac90245e504,,CIEL:1114,Vital Signs,Vital Signs,,Signes vitaux,Signes vitaux,,ConvSet,N/A,,,Pouls; Température; Frequence respiratoire; Saturation d'oxygène; Groupe tension artérielle,,,,,,,,
